FinalTestAcc,TrainLossCurve,TrainErrCurve,TestErrCurve
53.58,634.989154458046,61.416,46.42
63.49,421.0106105208397,39.102,36.51
63.49,348.18606102466583,31.992000000000004,37.13
72.5,298.6516337096691,26.870000000000005,27.5
72.5,262.1314961016178,23.397999999999996,27.879999999999995
76.83,236.65369248390198,21.0,23.17
78.75,222.1256485581398,19.796000000000006,21.25
78.82,207.15820065140724,18.206000000000003,21.180000000000007
79.32,194.1966701745987,17.305999999999997,20.680000000000007
79.7,186.02842593193054,16.489999999999995,20.299999999999997
83.51,178.29059052467346,15.792000000000002,16.489999999999995
83.73,170.07330030202866,14.918000000000006,16.269999999999996
83.73,163.68070663511753,14.451999999999998,17.010000000000005
83.74,159.76061230897903,14.030000000000001,16.260000000000005
83.89,152.82608427107334,13.578000000000003,16.11
84.31,147.41357113420963,12.945999999999998,15.689999999999998
84.31,144.09824392199516,12.915999999999997,16.430000000000007
84.31,141.54471065104008,12.64,18.010000000000005
84.31,137.22058469057083,12.078000000000003,16.86
84.57,134.1809211820364,11.945999999999998,15.430000000000007
84.57,130.75243070721626,11.650000000000006,17.700000000000003
84.57,126.37842673063278,11.159999999999997,15.920000000000002
84.57,124.3894826322794,11.093999999999994,15.480000000000004
84.57,122.32824967801571,10.802000000000007,16.540000000000006
84.57,119.85248997807503,10.772000000000006,16.200000000000003
85.37,116.99201506376266,10.376000000000005,14.629999999999995
85.7,115.54572032392025,10.186000000000007,14.299999999999997
85.7,112.74435804784298,9.944000000000003,14.849999999999994
85.7,110.87385034561157,9.903999999999996,15.400000000000006
85.7,111.46771612763405,9.908000000000001,16.959999999999994
85.7,107.76803115010262,9.489999999999995,15.659999999999997
85.7,105.40663053840399,9.382000000000005,14.939999999999998
86.02,103.85285702347755,9.272000000000006,13.980000000000004
86.02,103.93897894024849,9.225999999999999,14.219999999999999
86.02,100.50091582536697,8.872,15.0
86.02,101.85500837862492,9.055999999999997,14.030000000000001
87.35,102.12065231055021,9.281999999999996,12.650000000000006
87.35,98.01838782429695,8.650000000000006,13.319999999999993
87.6,96.79934637993574,8.604,12.400000000000006
87.6,98.88717824965715,8.745999999999995,16.400000000000006
87.6,95.76253170520067,8.432000000000002,13.200000000000003
87.6,93.06173612177372,8.274000000000001,13.61
87.6,92.50968682020903,8.406000000000006,13.989999999999995
87.6,93.84301042556763,8.373999999999995,14.980000000000004
88.36,93.45857567340136,8.349999999999994,11.64
88.36,90.61084594577551,8.019999999999996,12.310000000000002
88.36,90.68317787349224,8.146,12.36
88.36,89.88398154824972,8.096000000000004,15.150000000000006
88.36,90.20575614273548,7.977999999999994,12.579999999999998
88.36,87.72306627780199,7.867999999999995,13.060000000000002
88.36,86.60229646414518,7.772000000000006,12.510000000000005
88.36,86.11987130343914,7.695999999999998,11.900000000000006
88.36,86.1824205443263,7.760000000000005,13.959999999999994
88.84,84.68505261838436,7.5319999999999965,11.159999999999997
88.84,85.25155989825726,7.494,11.379999999999995
88.84,83.2214926481247,7.384,12.019999999999996
88.84,84.24719775468111,7.390000000000001,13.829999999999998
88.84,82.03574573248625,7.275999999999996,13.11
88.84,81.91737342625856,7.341999999999999,12.450000000000003
88.84,83.2741753757,7.5120000000000005,11.180000000000007
88.84,81.45590434595942,7.2960000000000065,11.920000000000002
88.84,80.09053392708302,7.170000000000002,12.680000000000007
88.84,80.93830414116383,7.1839999999999975,11.930000000000007
88.84,77.51119182258844,6.9539999999999935,12.980000000000004
88.84,77.84529023617506,6.947999999999993,11.739999999999995
88.84,82.31433334201574,7.340000000000003,13.629999999999995
88.84,78.46315699070692,7.099999999999994,11.629999999999995
88.84,76.88128641992807,6.890000000000001,12.560000000000002
88.84,78.71940059959888,7.165999999999997,12.579999999999998
88.84,76.23336888849735,6.903999999999996,11.959999999999994
88.84,76.77357854694128,7.072000000000003,13.64
88.84,76.85122042149305,6.927999999999997,13.829999999999998
88.84,75.15206152200699,6.519999999999996,14.36
88.84,74.51615761220455,6.611999999999995,12.319999999999993
88.84,74.77636893093586,6.694000000000003,11.909999999999997
88.84,77.26764716953039,6.941999999999993,15.549999999999997
88.84,75.41341545432806,6.751999999999995,12.670000000000002
89.52,74.90335683524609,6.813999999999993,10.480000000000004
89.52,73.32513796538115,6.507999999999996,13.590000000000003
89.52,73.9574400857091,6.507999999999996,13.930000000000007
89.52,72.24117738753557,6.477999999999994,11.86
92.19,40.290549129247665,3.4779999999999944,7.810000000000002
92.45,27.982795294374228,2.2860000000000014,7.549999999999997
92.84,23.613595182076097,1.9860000000000042,7.159999999999997
92.84,21.218147795647383,1.7000000000000028,7.359999999999999
92.84,19.864069677889347,1.6479999999999961,7.469999999999999
92.84,17.456352096050978,1.402000000000001,7.170000000000002
92.84,16.53116732649505,1.3559999999999945,7.239999999999995
92.84,15.295163137838244,1.2439999999999998,7.200000000000003
92.84,14.248673608526587,1.1340000000000003,7.159999999999997
