FinalTestAcc,TrainLossCurve,TrainErrCurve,TestErrCurve
10.69,899.6493995189667,89.616,89.31
10.86,897.405198097229,89.27,89.14
10.86,898.1167120933533,89.366,89.41
10.86,898.8554389476776,89.562,89.72
10.86,898.7598624229431,89.742,89.44
10.86,897.626350402832,89.226,89.27
10.89,897.30912566185,89.15,89.11
10.89,898.3689477443695,89.46000000000001,89.49
10.89,898.9377298355103,89.744,89.62
10.89,899.1146509647369,89.818,89.97
10.89,898.898166179657,89.69,89.48
11.2,897.7823214530945,89.444,88.8
11.2,895.9624469280243,88.994,88.93
12.54,895.5070064067841,88.316,87.46000000000001
13.29,892.2480421066284,87.352,86.71000000000001
13.54,890.9264559745789,86.936,86.46000000000001
14.87,888.4537341594696,86.578,85.13
14.87,887.6483988761902,86.412,91.11
14.87,887.1515018939972,85.936,87.94
14.87,888.0297791957855,86.078,87.95
14.87,891.9012784957886,87.432,89.09
14.87,893.197548866272,87.932,87.85
14.87,891.9864521026611,87.088,86.49
14.87,887.8699290752411,86.04599999999999,88.62
14.87,890.1964385509491,86.518,88.88
14.87,889.6967856884003,86.356,90.6
14.87,892.3902838230133,87.248,88.46000000000001
14.87,889.4133176803589,86.594,88.47
14.87,888.322812795639,86.322,88.56
14.87,889.5930697917938,86.19200000000001,86.15
16.1,885.2755901813507,85.38,83.9
16.1,882.5872337818146,84.6,88.73
16.1,887.1471090316772,86.14,88.58
16.1,890.2395370006561,86.394,88.0
16.1,888.4735372066498,85.978,86.32
16.1,884.2265160083771,85.252,89.61
16.1,881.5759298801422,84.804,88.3
16.1,882.0242731571198,85.056,88.06
16.1,879.6402547359467,84.778,90.0
16.1,879.9821786880493,84.85,87.77
16.1,878.5394623279572,84.56,89.94
16.1,878.4244334697723,84.414,89.24
16.1,876.3497173786163,84.464,88.97
16.1,874.7130892276764,83.952,88.93
16.1,874.3998279571533,83.958,88.86
16.1,873.6345021724701,84.3,88.24
16.1,873.3314416408539,84.176,86.19
16.1,871.9464013576508,83.768,87.98
16.1,870.2959640026093,83.898,88.37
16.1,868.6294417381287,83.718,87.2
16.1,869.4714872837067,83.632,89.18
16.1,864.3642737865448,83.512,87.7
16.1,859.6202299594879,83.078,88.51
16.1,852.3348891735077,82.572,88.72
17.96,837.447512626648,82.014,82.03999999999999
17.96,825.5145334005356,81.43,83.24
18.14,817.8114429712296,81.242,81.86
18.14,812.361487030983,80.932,83.01
