FinalTestAcc,TrainLossCurve,TrainErrCurve,TestErrCurve
19.72,868.2139456272125,84.128,80.28
21.25,810.8961795568466,78.788,78.75
27.3,747.7291796207428,72.69800000000001,72.7
35.69,711.7437136173248,68.77799999999999,64.31
35.69,689.8850615024567,66.214,68.14
35.69,667.984646320343,63.814,67.6
35.69,639.8213397264481,61.178,65.16
35.69,612.2516738176346,58.218,66.07
35.91,584.3049392700195,55.104,64.09
43.12,557.7778189182281,52.332,56.88
43.12,533.7834198474884,49.842,59.43
53.83,514.5290369987488,47.912,46.17
53.86,491.6217397451401,45.402,46.14
57.72,471.04916083812714,43.554,42.28
57.72,454.1578190922737,41.902,42.87
57.72,438.65781730413437,40.378,46.42
57.72,423.4384905695915,38.946,44.22
59.01,407.55777072906494,37.278,40.99
59.78,393.75811743736267,35.891999999999996,40.22
63.46,384.69460982084274,34.891999999999996,36.54
63.46,374.3814045190811,33.843999999999994,55.26
63.46,362.64454144239426,32.69199999999999,39.3
66.1,351.6420547366142,31.805999999999997,33.900000000000006
66.1,345.1573451757431,31.019999999999996,44.62
66.1,335.6496428847313,30.245999999999995,37.22
66.1,329.136329472065,29.465999999999994,40.92
67.87,321.8439658880234,28.732,32.129999999999995
67.87,315.42739206552505,28.128,36.28
68.39,310.566303730011,27.665999999999997,31.61
68.77,305.39686274528503,27.096000000000004,31.230000000000004
68.77,302.29112499952316,26.802000000000007,37.92
70.91,297.24443942308426,26.346000000000004,29.090000000000003
70.91,293.0293862223625,25.855999999999995,39.79
70.91,287.4200642108917,25.436000000000007,35.72
70.91,283.2550771832466,25.046000000000006,32.56
70.91,283.37530305981636,25.086,34.959999999999994
70.91,281.47888523340225,24.836,34.730000000000004
70.91,274.22015354037285,24.378,31.739999999999995
72.08,272.1437116265297,23.896,27.92
72.08,270.36730629205704,23.813999999999993,31.930000000000007
72.08,266.3355211019516,23.566000000000003,30.569999999999993
72.08,262.0171155333519,23.141999999999996,29.099999999999994
72.08,260.3932703733444,22.823999999999998,28.879999999999995
72.08,257.9539709985256,22.676000000000002,29.290000000000006
72.08,260.2389139533043,23.075999999999993,37.9
74.39,254.7652103304863,22.257999999999996,25.61
74.39,253.48526126146317,22.337999999999994,26.739999999999995
74.39,252.48001018166542,22.019999999999996,26.78
74.39,250.38335648179054,21.891999999999996,28.36
74.39,247.7401911020279,21.656000000000006,28.629999999999995
74.39,244.5109792649746,21.558000000000007,25.78
74.39,244.77689814567566,21.432000000000002,28.39
74.39,243.90970703959465,21.402,28.959999999999994
74.39,242.2469318509102,21.206000000000003,31.659999999999997
75.09,240.8826459646225,20.968000000000004,24.909999999999997
75.09,239.08240512013435,21.012,25.459999999999994
75.09,237.87829986214638,20.849999999999994,32.209999999999994
75.09,238.73068606853485,20.926000000000002,29.549999999999997
75.83,235.06952798366547,20.689999999999998,24.17
75.83,234.97568318247795,20.647999999999996,28.819999999999993
75.83,232.16419306397438,20.244,27.680000000000007
75.83,232.2150128185749,20.385999999999996,25.819999999999993
75.83,233.58576953411102,20.468000000000004,30.010000000000005
76.54,230.79979440569878,20.152,23.459999999999994
76.54,228.3437024652958,19.793999999999997,42.63
76.54,228.8976212143898,20.013999999999996,26.569999999999993
76.54,225.35348844528198,19.587999999999994,24.310000000000002
76.54,225.290506452322,19.622,27.269999999999996
76.54,226.5832333266735,19.638000000000005,24.83
76.54,225.15062299370766,19.590000000000003,25.61
76.54,222.89871129393578,19.488,26.790000000000006
76.54,221.3463282585144,19.227999999999994,25.489999999999995
76.54,221.99043974280357,19.33,27.200000000000003
76.54,222.89236518740654,19.346000000000004,29.099999999999994
76.54,221.49259957671165,19.310000000000002,26.760000000000005
76.54,219.87536290287971,19.176000000000002,27.349999999999994
76.54,220.85337960720062,19.208,25.180000000000007
76.54,217.60356840491295,18.866,31.739999999999995
76.54,218.61176404356956,19.040000000000006,25.409999999999997
76.54,215.33346438407898,18.906000000000006,30.14
76.82,217.4586125612259,18.89,23.180000000000007
85.07,166.54415114223957,14.480000000000004,14.930000000000007
85.31,150.55409780144691,13.156000000000006,14.689999999999998
85.58,144.55654761195183,12.683999999999997,14.420000000000002
85.96,143.4198356717825,12.543999999999997,14.040000000000006
85.96,138.2153253853321,11.920000000000002,14.14
86.05,137.28344278037548,11.884,13.950000000000003
86.05,136.05937233567238,11.858000000000004,14.150000000000006
86.05,134.51032501459122,11.768,14.219999999999999
86.05,131.6924775391817,11.506,14.069999999999993
86.05,132.42954720556736,11.616,14.590000000000003
86.05,129.1246590912342,11.262,14.11
86.05,128.23858177661896,11.152000000000001,14.159999999999997
86.05,128.05196270346642,11.158000000000001,14.680000000000007
86.05,127.5067300349474,11.287999999999997,13.980000000000004
86.05,125.98373281955719,11.042000000000002,14.700000000000003
86.05,124.449433401227,10.983999999999995,14.219999999999999
